EmployeeId,FirstName,LastName,PositionId,PositionTitle,DepartmentId,BirthDate,HireDate,Salary,Gender,ManagementRole,DepartmentDescription,PayType
31,Paula,Nickell,11,Store Manager,11,19780702 00:00:00,19941201 00:00:00,14000,F,Store Management,Store Management,Monthly
32,Eric,Long,11,Store Manager,11,19300108 00:00:00,19941201 00:00:00,17000,M,Store Management,Store Management,Monthly
33,Mary,Solimena,11,Store Manager,11,19710723 00:00:00,19941201 00:00:00,17000,F,Store Management,Store Management,Monthly
34,Nathan,Muenich,11,Store Manager,11,19191021 00:00:00,19941201 00:00:00,7000,M,Store Management,Store Management,Monthly
35,Ed,Young,11,Store Manager,11,19200417 00:00:00,19941201 00:00:00,11000,M,Store Management,Store Management,Monthly
36,Donna,Arnold,7,HQ Marketing,3,19151122 00:00:00,19941201 00:00:00,45000,F,Middle Management,HQ Marketing,Monthly
37,Jennifer,Cooper,6,HQ Information Systems,2,19610406 00:00:00,19960101 00:00:00,6700,F,Middle Management,HQ Information Systems,Monthly
38,Peggy,Petty,6,HQ Information Systems,2,19580409 00:00:00,19950101 00:00:00,8000,F,Middle Management,HQ Information Systems,Monthly
39,Jessica,Olguin,6,HQ Information Systems,2,19590123 00:00:00,19980101 00:00:00,10000,F,Middle Management,HQ Information Systems,Monthly
40,Phyllis,Burchett,6,HQ Information Systems,2,19261027 00:00:00,19980101 00:00:00,10000,F,Middle Management,HQ Information Systems,Monthly
41,Howard,Bechard,7,HQ Marketing,3,19190419 00:00:00,19950101 00:00:00,8500,M,Middle Management,HQ Marketing,Monthly
42,Doris,Carter,7,HQ Marketing,3,19650327 00:00:00,19980101 00:00:00,5000,F,Middle Management,HQ Marketing,Monthly
43,Juanita,Sharp,8,HQ Human Resources,4,19770516 00:00:00,19940101 00:00:00,6700,F,Middle Management,HQ Human Resources,Monthly
44,Sandra,Brunner,8,HQ Human Resources,4,19170520 00:00:00,19980101 00:00:00,5000,F,Middle Management,HQ Human Resources,Monthly
45,Ernest,Staton,9,HQ Finance and Accounting,5,19160809 00:00:00,19960101 00:00:00,6800,M,Middle Management,HQ Finance and Accounting,Monthly
46,Rose,Sims,9,HQ Finance and Accounting,5,19160809 00:00:00,19960101 00:00:00,6600,F,Middle Management,HQ Finance and Accounting,Monthly
47,Lauretta,De Carlo,9,HQ Finance and Accounting,5,19160809 00:00:00,19960101 00:00:00,6500,F,Middle Management,HQ Finance and Accounting,Monthly
48,Mary,Williams,9,HQ Finance and Accounting,5,19160809 00:00:00,19960101 00:00:00,7200,F,Middle Management,HQ Finance and Accounting,Monthly
49,Terri,Burke,9,HQ Finance and Accounting,5,19160809 00:00:00,19980101 00:00:00,5000,F,Middle Management,HQ Finance and Accounting,Monthly
50,Audrey,Osborn,9,HQ Finance and Accounting,5,19160809 00:00:00,19980101 00:00:00,5000,F,Middle Management,HQ Finance and Accounting,Monthly
51,Brian,Binai,9,HQ Finance and Accounting,5,19160809 00:00:00,19980101 00:00:00,5000,M,Middle Management,HQ Finance and Accounting,Monthly
52,Concepcion,Lozada,9,HQ Finance and Accounting,5,19160809 00:00:00,19980101 00:00:00,5000,F,Middle Management,HQ Finance and Accounting,Monthly
53,Paul,Tays,12,Store Assistant Manager,11,19321224 00:00:00,19970101 00:00:00,12000,M,Store Management,Store Management,Monthly
54,Cheryl,Thorton,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,9000,F,Store Management,Store Management,Monthly
55,Gary,Dumin,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,8000,M,Store Management,Store Management,Monthly
56,Pat,Chin,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,7000,F,Store Management,Store Management,Monthly
57,Zach,Lovell,19,Store Permanent Butcher,19,19601210 00:00:00,19970101 00:00:00,8500,M,Store Full Time Staf,Store Permanent Butchers,Monthly
58,Dave,Ratcliff,19,Store Permanent Butcher,19,19601210 00:00:00,19970101 00:00:00,8500,M,Store Full Time Staf,Store Permanent Butchers,Monthly
59,Elizabeth,Moss,14,Store Information Systems,14,19420601 00:00:00,19970101 00:00:00,9000,F,Store Full Time Staf,Store Information Systems,Monthly
60,Lori,Anderson,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7200,F,Store Full Time Staf,Store Permanent Checkers,Monthly
61,Michael,Everson,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,M,Store Full Time Staf,Store Permanent Checkers,Monthly
62,Mary,Borden,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6900,F,Store Full Time Staf,Store Permanent Checkers,Monthly
63,Sue,Willson,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7100,F,Store Full Time Staf,Store Permanent Checkers,Monthly
64,Clayton,Harris,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,M,Store Full Time Staf,Store Permanent Checkers,Monthly
65,Whitney,Contreras,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,F,Store Full Time Staf,Store Permanent Checkers,Monthly
66,Boyd,Pusedu,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,5000,M,Store Full Time Staf,Store Permanent Checkers,Monthly
67,Cian,Stedman,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,9000,F,Store Full Time Staf,Store Permanent Checkers,Monthly
68,Michele,Zocchi,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6500,F,Store Full Time Staf,Store Permanent Checkers,Monthly
69,Jean,Walsh,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7500,F,Store Full Time Staf,Store Permanent Checkers,Monthly
70,Leopoldo,Renfro,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
71,Donna,Brockett,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
72,Laurie,Anderson,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
73,Louis,Gomez,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
74,Julie,Walker,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
75,Jay,Jones,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
76,Gayle,Winfrey,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
77,Yasmina,Brown,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
78,Joseph,Touchstone,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
79,Mary,Bakhtyari,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
80,Melvin,Glass,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4400,M,Store Full Time Staf,Store Permanent Stockers,Monthly
81,Kristin,Cohen,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4800,F,Store Full Time Staf,Store Permanent Stockers,Monthly
82,Susan,Kharman,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,3700,F,Store Full Time Staf,Store Permanent Stockers,Monthly
83,Gordon,Kirschner,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,6500,M,Store Full Time Staf,Store Permanent Stockers,Monthly
84,William,Burger,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,5200,M,Store Full Time Staf,Store Permanent Stockers,Monthly
85,Lana,Blau,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4650,F,Store Full Time Staf,Store Permanent Stockers,Monthly
86,Donna,Derby,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4550,F,Store Full Time Staf,Store Permanent Stockers,Monthly
87,Kathleen,Thomson,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4400,F,Store Full Time Staf,Store Permanent Stockers,Monthly
88,Gabriel,Walton,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4700,F,Store Full Time Staf,Store Permanent Stockers,Monthly
89,Bishop,Meastas,17,Store Permanent Stocker,17,19460418 00:00:00,19950125 00:00:00,4500,M,Store Full Time Staf,Store Permanent Stockers,Monthly
90,Geneva,Kouba,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
91,Tricia,Clark,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
92,Debi,Munn,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
93,Patricia,Goldberg,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
94,Susan,Magenheim,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
95,Nancy,Hance,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
96,Rhonda,Mehlert,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
97,Paula,Duran,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
98,Margaret,Earley,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
99,Elizabeth,Horne,18,Store Temporary Stocker,18,19761005 00:00:00,19970101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
100,Mary,Hunt,12,Store Assistant Manager,11,19321224 00:00:00,19970101 00:00:00,13000,F,Store Management,Store Management,Monthly
101,Libby,Allen,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,8900,F,Store Management,Store Management,Monthly
102,Bonnie,Bruno,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,8200,F,Store Management,Store Management,Monthly
103,Angela,Bowers,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,7000,F,Store Management,Store Management,Monthly
104,Donald,Gonzales,19,Store Permanent Butcher,19,19601210 00:00:00,19970101 00:00:00,8500,M,Store Full Time Staf,Store Permanent Butchers,Monthly
105,Sylvester,Valdez,19,Store Permanent Butcher,19,19601210 00:00:00,19970101 00:00:00,8500,M,Store Full Time Staf,Store Permanent Butchers,Monthly
106,John,Stewart,14,Store Information Systems,14,19420601 00:00:00,19970101 00:00:00,9000,M,Store Full Time Staf,Store Information Systems,Monthly
107,Barney,Velasquez,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,M,Store Full Time Staf,Store Permanent Checkers,Monthly
108,Kenneth,Dubois,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,M,Store Full Time Staf,Store Permanent Checkers,Monthly
109,Kate,Maestas,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6700,F,Store Full Time Staf,Store Permanent Checkers,Monthly
110,Josie,Underwood,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,8200,F,Store Full Time Staf,Store Permanent Checkers,Monthly
111,Ramon,Strain,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,M,Store Full Time Staf,Store Permanent Checkers,Monthly
112,Pat,Azari,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,F,Store Full Time Staf,Store Permanent Checkers,Monthly
113,Bob,Dabit,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6700,M,Store Full Time Staf,Store Permanent Checkers,Monthly
114,Marty,Carmona,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,8200,M,Store Full Time Staf,Store Permanent Checkers,Monthly
115,Gina,Saxton,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,F,Store Full Time Staf,Store Permanent Checkers,Monthly
116,Juan,McLaughlin,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,M,Store Full Time Staf,Store Permanent Checkers,Monthly
117,Carol,Eyster,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6700,F,Store Full Time Staf,Store Permanent Checkers,Monthly
118,Nancy,Henry,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,8200,F,Store Full Time Staf,Store Permanent Checkers,Monthly
119,Chris,Barros,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
120,Christopher,Groome,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
121,Anna,Hill,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
122,Ramon,Williams,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
123,Scott,Masters,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
124,Joseph,Brady,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
125,Ellen,Gray,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
126,Henry,Fielder,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
127,Jeanine,Finnell,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
128,Ian,Schuetz,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
129,Richard,Runyon,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
130,Linda,Potter,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
131,Mary,Smith,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
132,Barbara,Brumagen,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
133,Thelma,Hamilton,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
134,Shirley,Wilbert,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4400,F,Store Full Time Staf,Store Permanent Stockers,Monthly
135,Jeremy,Ingram,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4800,M,Store Full Time Staf,Store Permanent Stockers,Monthly
136,Sharon,Haddix,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,3700,F,Store Full Time Staf,Store Permanent Stockers,Monthly
137,Leland,Thomas,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,6500,M,Store Full Time Staf,Store Permanent Stockers,Monthly
138,Don,Wilson,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,5200,M,Store Full Time Staf,Store Permanent Stockers,Monthly
139,Wayne,Stovall,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4650,M,Store Full Time Staf,Store Permanent Stockers,Monthly
140,Douglas,Russell,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4550,M,Store Full Time Staf,Store Permanent Stockers,Monthly
141,Maureen,Doose,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4400,F,Store Full Time Staf,Store Permanent Stockers,Monthly
142,Ann,Morreale,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4700,F,Store Full Time Staf,Store Permanent Stockers,Monthly
143,Sheila,Rupert,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4500,F,Store Full Time Staf,Store Permanent Stockers,Monthly
144,Ashley,Pierson,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4400,F,Store Full Time Staf,Store Permanent Stockers,Monthly
145,Ivan,Nickels,17,Store Permanent Stocker,17,19140202 00:00:00,19960101 00:00:00,4600,M,Store Full Time Staf,Store Permanent Stockers,Monthly
146,Chad,Neuhauser,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
147,Ann,Coke,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
148,Jon,Scarbrough,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
149,Lillian,Martensen,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
150,Mary,McCormick,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
151,James,Sparacino,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
152,John,Racette,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
153,Edwardo,Thompson,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
154,Sam,Warren,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
155,Shelby,ChowWang,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
156,Nelly,Wood,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
157,Jackie,Morgan,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
158,Gavin,Boje,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,M,Store Temp Staff,Store Temporary Stockers,Hourly
159,Marlene,Tsujimoto,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
160,RitaIva,Bouton,18,Store Temporary Stocker,18,19140202 00:00:00,19960101 00:00:00,20,F,Store Temp Staff,Store Temporary Stockers,Hourly
161,Dell,Gras,12,Store Assistant Manager,11,19321224 00:00:00,19970101 00:00:00,13000,F,Store Management,Store Management,Monthly
162,Christopher,Solano,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,8900,M,Store Management,Store Management,Monthly
163,George,Armstrong,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,8200,M,Store Management,Store Management,Monthly
164,Kristine,Aldred,13,Store Shift Supervisor,11,19610924 00:00:00,19970101 00:00:00,7000,F,Store Management,Store Management,Monthly
165,Tom,Jorgenson,19,Store Permanent Butcher,19,19601210 00:00:00,19970101 00:00:00,8500,M,Store Full Time Staf,Store Permanent Butchers,Monthly
166,Dana,Turner,19,Store Permanent Butcher,19,19601210 00:00:00,19970101 00:00:00,8500,F,Store Full Time Staf,Store Permanent Butchers,Monthly
167,Terry,Zakerski,14,Store Information Systems,14,19420601 00:00:00,19970101 00:00:00,9000,M,Store Full Time Staf,Store Information Systems,Monthly
168,David,Carlson,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,F,Store Full Time Staf,Store Permanent Checkers,Monthly
169,Linda,Symons,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,F,Store Full Time Staf,Store Permanent Checkers,Monthly
170,Louis,Reynolds,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6700,M,Store Full Time Staf,Store Permanent Checkers,Monthly
171,Maureen,Ibsen,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,8200,M,Store Full Time Staf,Store Permanent Checkers,Monthly
172,Virginia,Ciochon,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,F,Store Full Time Staf,Store Permanent Checkers,Monthly
173,Steve,Berger,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,F,Store Full Time Staf,Store Permanent Checkers,Monthly
174,James,Bayol,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6700,F,Store Full Time Staf,Store Permanent Checkers,Monthly
175,Meredith,Thumann,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,8200,F,Store Full Time Staf,Store Permanent Checkers,Monthly
176,Julie,Jones,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,7000,M,Store Full Time Staf,Store Permanent Checkers,Monthly
177,Janet,Bury,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6800,M,Store Full Time Staf,Store Permanent Checkers,Monthly
178,Onita,Bevan,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,6700,M,Store Full Time Staf,Store Permanent Checkers,Monthly
179,Mary,Monarco,15,Store Permanent Checker,15,19140202 00:00:00,19960101 00:00:00,8200,M,Store Full Time Staf,Store Permanent Checkers,Monthly
180,Vicky,Zingarelli,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
181,Helen,Valentine,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
182,Carol,Scheulen,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
183,Virgie,Koon,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
184,Sarah,Amole,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
185,Cecil,Hill,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
186,Ruth,Tate,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
187,Larry,Schnurr,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
188,Jerry,Sutton,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
189,Kevin,Mlincek,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,M,Store Full Time Staf,Store Temporary Checkers,Hourly
190,Edward,Tucker,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
191,Kenton,Forham,16,Store Temporary Checker,16,19140202 00:00:00,19960101 00:00:00,20,F,Store Full Time Staf,Store Temporary Checkers,Hourly
